id,url,category,date,image,name,price,category_rank,review_count
837,http://shopping.naver.com/detail/detail.nhn?cat_id=50002574&nv_mid=7972360176,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7972360/7972360176.20140925113751.jpg,쿠쿠전자 쿠쿠 CRP-P1010FD,164700,38,234
838,http://shopping.naver.com/detail/detail.nhn?cat_id=50001976&nv_mid=7909257443,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7909257/7909257443.20140829152746.jpg,티피오스 RICH300,19700,39,654
839,http://shopping.naver.com/detail/detail.nhn?cat_id=50001581&nv_mid=5591535568,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_5591535/5591535568.20120211213946.jpg,쿨러마스터 Notepal ErgoStand,33400,40,2
840,http://shopping.naver.com/detail/detail.nhn?cat_id=50002574&nv_mid=5439221892,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_5439221/5439221892.20130731160103.jpg,쿠쿠전자 쿠쿠 CRP-FA0621MR,88250,41,1
841,http://shopping.naver.com/detail/detail.nhn?cat_id=50002928&nv_mid=7034932205,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7034932/7034932205.20130730122928.jpg,로지텍 G100s,10390,42,652
842,http://shopping.naver.com/detail/detail.nhn?cat_id=50002350&nv_mid=5409413507,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_5409413/5409413507.20120211202958.jpg,삼성전자 VC-PS85,68057,43,7
843,http://shopping.naver.com/detail/detail.nhn?cat_id=50001600&nv_mid=6863384156,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_6863384/6863384156.20130514165501.jpg,도시바 Canvio Connect,63150,44,3
844,http://shopping.naver.com/detail/detail.nhn?cat_id=50000152&nv_mid=7687777877,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7687777/7687777877.20141215173547.jpg,삼성전자 SM-T700(갤럭시탭S 8.4) 32GB Wi-Fi,447010,45,85
845,http://shopping.naver.com/detail/detail.nhn?cat_id=50001986&nv_mid=5732522912,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_5732522/5732522912.20120211195854.jpg,JMW M5001A,45500,46,824
846,http://shopping.naver.com/detail/detail.nhn?cat_id=50001594&nv_mid=7609899797,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7609899/7609899797.20140408145732.jpg,로지텍 MK270r,22770,47,554
847,http://shopping.naver.com/detail/detail.nhn?cat_id=50004604&nv_mid=1000173704,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_1000173/1000173704.20130313164132.jpg,캐논 EF 24-105mm F4L IS USM,603870,48,916
848,http://shopping.naver.com/detail/detail.nhn?cat_id=50002375&nv_mid=6709148295,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_6709148/6709148295.20141209173306.jpg,필립스 HQ-6976,39900,49,434
849,http://shopping.naver.com/detail/detail.nhn?cat_id=50001991&nv_mid=5762939457,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_5762939/5762939457.20120211202445.jpg,파나소닉 ER-GN30,12120,50,2
850,http://shopping.naver.com/detail/detail.nhn?cat_id=50001986&nv_mid=5373786043,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_5373786/5373786043.20120211200200.jpg,유닉스 UN-1824,18470,51,1
851,http://shopping.naver.com/detail/detail.nhn?cat_id=50002368&nv_mid=1000002331,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_1000002/1000002331.20120211210656.jpg,LG전자 GS-460,12300,52,1
852,http://shopping.naver.com/detail/detail.nhn?cat_id=50000266&nv_mid=7906306072,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7906306/7906306072.20150119110624.jpg,소니 A5100,480050,53,369
853,http://shopping.naver.com/detail/detail.nhn?cat_id=50001589&nv_mid=6431988751,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_6431988/6431988751.20120711125705.jpg,로지텍 Apple iPad2/iPad3(뉴아이패드)용 Ultrathin Keyboard cover,31900,54,401
854,http://shopping.naver.com/detail/detail.nhn?cat_id=50004624&nv_mid=7749442115,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7749442/7749442115.20140616111816.jpg,삼성전자 MICROSDHC 64G EVO UHS-I CLASS10,29380,55,1
855,http://shopping.naver.com/detail/detail.nhn?cat_id=50004624&nv_mid=5682355055,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_5682355/5682355055.20120211193335.jpg,샌디스크 MICROSDHC 16GB CLASS4,6030,56,4
856,http://shopping.naver.com/detail/detail.nhn?cat_id=50001588&nv_mid=7307757636,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7307757/7307757636.20131205173537.jpg,오자키 Apple iPad Air용 O!coat Travel,46000,57,507
857,http://shopping.naver.com/detail/detail.nhn?cat_id=50002322&nv_mid=7451970300,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_7451970/7451970300.20140129142310.jpg,보스 SoundLink Mini,219350,58,434
858,http://shopping.naver.com/detail/detail.nhn?cat_id=50001976&nv_mid=6669044229,디지털/가전,2015.02.03,http://shopping.phinf.naver.net/main_6669044/6669044229.20130625101009.jpg,삼성전자 갤럭시 전용 이어폰,2350,59,2
